Iteration	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
0	-330.545	-192.2381	-138.3069	382024.3	0.1470111	3089.135	0.0002912427	0.997944	0.999474	1.00052	1.00206	0.1436032	2958.294	2229.462	2289.339	2429.101	2536.12	2301.055	2390.867	2356.712	2346.709	2422.022
10	-325.2193	-192.2394	-132.9799	185511.6	0.1432221	3033.657	0.0002311311	0.99705	0.999245	1.00075	1.00295	0.1468684	2954.101	2219.016	2264.17	2459.11	2540.877	2306.028	2403.26	2306.456	2345.815	2395.05
20	-332.9261	-192.2394	-140.6867	365034.3	0.134731	3043.07	0.0001312024	0.997897	0.999462	1.00054	1.0021	0.1352991	2970.39	2268.342	2301.094	2441.785	2532.972	2199.73	2400.574	2351.092	2273.553	2381.102
30	-331.953	-192.2394	-139.7136	287958.4	0.1424292	3057.689	9.49163e-05	0.997632	0.999394	1.0006	1.00237	0.1434055	2970.665	2239.02	2300.784	2464.573	2528.728	2167.321	2401.909	2320.644	2343.501	2397.523
40	-330.0842	-192.2394	-137.8448	382397.7	0.1541165	3029.33	0.0001778681	0.997945	0.999474	1.00052	1.00206	0.1548952	2970.255	2261.77	2312.307	2470.789	2525.558	2136.758	2406.782	2259.002	2266.745	2402.484
50	-324.778	-192.2394	-132.5386	469265.2	0.152699	3005.468	0.0003994088	0.998145	0.999525	1.00047	1.00186	0.1500796	2958.307	2269.467	2265.332	2433.032	2548.46	2189.821	2399.673	2369.186	2320.766	2424.643
60	-329.0684	-192.2408	-136.8277	629804.6	0.1639543	3050.463	0.0002197086	0.998399	0.99959	1.00041	1.0016	0.1642033	2953.748	2274.455	2262.872	2426.502	2546.942	2146.015	2408.219	2355.061	2306.481	2403.118
70	-330.9285	-192.2396	-138.6889	289229.1	0.1748512	3035.15	0.0002897961	0.997637	0.999395	1.0006	1.00236	0.1698293	2956.47	2255.66	2323.953	2470.364	2549.95	2147.759	2391.618	2323.755	2348.683	2420.613
80	-331.4377	-192.2394	-139.1982	157109.8	0.1721966	3075.669	0.0003590815	0.996795	0.999179	1.00082	1.00321	0.1741188	2950.537	2241.232	2335.482	2428.568	2540.755	2160.307	2397.427	2356.232	2277.801	2391.443
90	-332.0121	-192.2394	-139.7727	233035.1	0.1768122	3037.795	0.0002769837	0.997368	0.999326	1.00067	1.00263	0.1774405	2973.407	2251.378	2304.283	2442.536	2535.772	2317.995	2408.161	2290.615	2344.762	2404.669
