Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
25	1	-327.8446	-192.2394	-135.6052	298656.8	0.1630932	2990.661	0.000134031	0.997675	0.999405	1.00059	1.00233	0.1598316	2954.385	2254.53	2345.531	2425.857	2529.739	2191.543	2409.739	2311.57	2348.662	2410.331
26	0	-329.772	-192.2394	-137.5326	452363.3	0.1890491	3002.817	0.0001498069	0.998111	0.999517	1.00048	1.00189	0.1883938	2960.402	2270.436	2262.327	2430.866	2515.181	2151.554	2400.4	2365.154	2292.298	2402.524
27	1	-328.3113	-192.2394	-136.0718	770604.7	0.1718784	3011.845	0.000404487	0.998552	0.99963	1.00037	1.00145	0.1696713	2960.25	2256.681	2259.234	2432.978	2507.022	2219.999	2401.997	2324.392	2324.215	2386.289
28	0	-328.7733	-192.2394	-136.5338	226758.8	0.1855491	3046.394	0.0002012401	0.997332	0.999317	1.00068	1.00267	0.1841456	2965.068	2235.5	2317.426	2463.566	2541.023	2159.333	2404.248	2329.377	2279.135	2410.152
29	1	-336.4	-192.2394	-144.1605	358448.7	0.1744052	3023.749	0.0001134117	0.997878	0.999457	1.00054	1.00212	0.1714507	2955.215	2248.123	2348.219	2436.576	2526.302	2164.971	2391.846	2305.724	2274.224	2421.235
30	0	-331.2557	-192.2394	-139.0163	178229.5	0.1845525	3009.4	0.0002035127	0.996991	0.999229	1.00077	1.00301	0.1886725	2972.571	2269.826	2325.057	2436.477	2527.05	2178.904	2408.491	2298.777	2253.602	2398.092
31	1	-330.0936	-192.2394	-137.8542	328172.3	0.1798434	3005.076	0.0001507879	0.997782	0.999432	1.00057	1.00222	0.1786119	2972.858	2259.198	2313.626	2430.178	2547.481	2167.303	2404.245	2349.694	2258.185	2422.89
32	0	-332.6738	-192.2394	-140.4343	622117.6	0.1790514	3086.892	0.0002660124	0.998389	0.999588	1.00041	1.00161	0.1808661	2978.173	2228.234	2321.953	2464.557	2518.021	2171.095	2398.433	2351.472	2320.32	2402.039
33	1	-323.7325	-192.2394	-131.493	769253.3	0.1784168	2997.427	0.0003350389	0.998551	0.999629	1.00037	1.00145	0.1773829	2979.987	2215.479	2292.658	2461.069	2526.442	2288.268	2395.538	2357.854	2290.836	2415.392
34	0	-321.5235	-192.2393	-129.2842	192634.1	0.1668134	3040.497	0.0002334331	0.997105	0.999259	1.00074	1.0029	0.1713726	2964.111	2274.797	2342.98	2427.706	2511.814	2159.349	2397.615	2289.062	2255.468	2401.41
35	1	-320.5489	-192.2394	-128.3095	531847.8	0.1801428	3037.904	0.0002889396	0.998258	0.999554	1.00044	1.00174	0.1758024	2962.775	2254.766	2306.075	2436.69	2505.18	2270.898	2407.49	2322.065	2336.033	2419.629
36	0	-329.1837	-192.2394	-136.9443	466263.7	0.169961	3067.025	0.0003030347	0.998139	0.999524	1.00047	1.00186	0.1726911	2971.278	2244.706	2299.835	2429.868	2529.666	2218.114	2402.512	2304.617	2283.178	2396.811
37	1	-333.2061	-192.2394	-140.9667	839902.7	0.1596522	3036.552	0.00017635	0.998613	0.999645	1.00035	1.00139	0.1586603	2963.656	2215.934	2266.086	2462.702	2527.705	2304.935	2395.803	2311.836	2339.601	2402.908
38	0	-332.083	-192.2394	-139.8435	572496.7	0.1721597	3068.615	0.0003326543	0.998321	0.99957	1.00043	1.00168	0.1740858	2961.528	2262.481	2321.808	2461.173	2536.101	2176.793	2400.065	2349.801	2326.876	2398.839
39	1	-326.8643	-192.2394	-134.6248	480138.4	0.1628489	3089.606	0.0002289918	0.998166	0.999531	1.00047	1.00184	0.1611926	2953.865	2214.629	2293.291	2447.727	2548.819	2284.961	2397.448	2304.453	2301.169	2389.403
40	0	-329.907	-192.2394	-137.6676	275866.9	0.1762431	3034.883	0.0003301881	0.997581	0.999381	1.00062	1.00242	0.1739441	2952.411	2216.705	2301.732	2467.451	2507.302	2318.819	2393.17	2303.009	2349.084	2414.157
41	1	-331.0311	-192.2394	-138.7916	39287.26	0.1613739	3077.218	0.0002014709	0.993594	0.998355	1.00163	1.00642	0.1606087	2973.884	2225.296	2325.57	2435.773	2515.683	2323.899	2406.12	2294.256	2304.898	2403.964
42	0	-332.08	-192.2394	-139.8406	78812.8	0.1727061	3086.351	0.0004168665	0.995476	0.99884	1.00115	1.00453	0.1715809	2956.504	2211.776	2341.495	2429.546	2529.999	2256.498	2398.544	2313.157	2268.06	2388.15
43	1	-331.959	-192.2394	-139.7196	89577.34	0.1604973	2981.95	0.0001777872	0.995756	0.998912	1.00108	1.00425	0.1629194	2961.821	2254.746	2292.821	2425.832	2526.384	2170.317	2394.912	2347.564	2322.466	2376.783
