taxon	min_age	max_age
greek_amphora_iron_age_-500BCE_18	2425	2475
greek_pelike_iron_age_-450BCE_31	2375	2425
greek_italiote_pelike_iron_age_-400BCE_44	2250	2370
greek_pelike_iron_age_-350BCE_71	2250	2350
greek_amphora_iron_age_-600BCE_97	2500	2550
greek_amphora_iron_age_-350BCE_142	2250	2350
greek_italiote_amphora_hellenistic_age_-300BCE_216	2125	2325
greek_italiote_amphora_iron_age_-450BCE_264	2390	2410
greek_amphora_iron_age_-1050BCE_277	2950	2980
greek_amphora_iron_age_-300BCE_294	2210	2275
